"channels","conversions"
"Instagram Installs,Off-Facebook Installs","11"
"Organic,Off-Facebook Installs,Branch,Facebook Installs","1"
"Off-Facebook Installs,AppNext,Branch,Facebook Installs","6"
"Facebook Messenger Installs,Facebook Installs,Instagram Installs","0"
"Branch,Facebook Messenger Installs,Off-Facebook Installs","0"
"Branch,Off-Facebook Installs,Organic,Facebook Installs","0"
"AppNext,Facebook Installs,Off-Facebook Installs,Instagram Installs","8"
"Instagram Installs,Branch,Facebook Installs","56"
"Branch,Leadbolt,Facebook Installs","15"
"Off-Facebook Installs,AppNext,Facebook Installs","0"
"Facebook Installs,Leadbolt,Organic","2"
"Facebook Installs,Organic,Facebook Messenger Installs","0"
"Adwords UAC Installs,Instagram Installs,Branch","0"
"Branch,Leadbolt,AppNext","0"
"Facebook Messenger Installs,Organic,Branch","0"
"Facebook Installs,Leadbolt,Branch","8"
"Facebook Installs,Off-Facebook Installs,Adwords UAC Installs,Branch","0"
"Branch,Off-Facebook Installs,Organic","2"
"Organic,Branch,Instagram Installs","4"
"Facebook Messenger Installs,Instagram Installs,Facebook Installs,Branch","1"
"Facebook Installs,Branch,Facebook Messenger Installs","11"
"Adwords UAC Installs,Off-Facebook Installs,Branch","0"
"Branch,Facebook Messenger Installs,Off-Facebook Installs,Facebook Installs","3"
"Facebook Installs,Instagram Installs,Off-Facebook Installs,Organic","0"
"Instagram Installs,Off-Facebook Installs,Branch","2"
"Facebook Installs,Branch","8007"
"Facebook Installs,Instagram Installs","84"
"Branch,Organic,Facebook Installs","55"
"Branch,Facebook Installs,Adwords UAC Installs","7"
"Leadbolt,Instagram Installs,Facebook Installs,Branch","0"
"Leadbolt,Branch","188"
"AppNext,Branch","296"
"Off-Facebook Installs,Branch,Organic","0"
"Facebook Messenger Installs,Facebook Installs,Off-Facebook Installs","0"
"Branch,Instagram Installs,Off-Facebook Installs","7"
"Leadbolt","564"
"Instagram Installs,Facebook Installs,Branch","80"
"Off-Facebook Installs,Organic","34"
"Off-Facebook Installs,Organic,Branch","4"
"Branch,AppNext,Leadbolt","0"
"Facebook Installs,Branch,Instagram Installs,Off-Facebook Installs","0"
"AppNext,Instagram Installs,Facebook Installs","0"
"Organic,Off-Facebook Installs,Facebook Installs","3"
"Off-Facebook Installs,Adwords UAC Installs,Branch","1"
"Organic,Facebook Installs,Instagram Installs","5"
"Instagram Installs,Branch,Adwords UAC Installs,Facebook Installs","0"
"Facebook Installs,Instagram Installs,Branch,Off-Facebook Installs","3"
"Off-Facebook Installs,Facebook Messenger Installs","0"
"Off-Facebook Installs,Facebook Installs,Leadbolt","0"
"Branch,Leadbolt","286"
"Leadbolt,Facebook Installs","34"
"Branch,Instagram Installs,Organic","11"
"Facebook Installs,Organic,Branch,Instagram Installs","1"
"Leadbolt,Off-Facebook Installs","2"
"Facebook Installs,Branch,Adwords UAC Installs","4"
"Branch,Facebook Messenger Installs,Facebook Installs","1"
"AppNext,Leadbolt,Organic","0"
"Instagram Installs,Leadbolt","0"
"AppNext,Facebook Installs,Instagram Installs","0"
"Facebook Installs,Branch,Off-Facebook Installs","111"
"Instagram Installs","1511"
"Facebook Messenger Installs,Branch,Off-Facebook Installs","0"
"Branch,Off-Facebook Installs,Instagram Installs","3"
"Branch,Facebook Installs","7915"
"Branch,AppNext","228"
"Branch,Instagram Installs,Leadbolt","2"
"AppNext","1210"
"Facebook Installs,Off-Facebook Installs","142"
"Instagram Installs,Facebook Installs,Organic","9"
"Facebook Installs,Organic,Instagram Installs","15"
"AppNext,Facebook Installs","63"
"Facebook Installs,Branch,Instagram Installs,Organic","1"
"Leadbolt,Branch,Off-Facebook Installs","2"
"Branch,AppNext,Adwords UAC Installs","0"
"Off-Facebook Installs,Instagram Installs","6"
"Adwords UAC Installs,Leadbolt,Facebook Installs","0"
"Instagram Installs,Adwords UAC Installs","5"
"Instagram Installs,AppNext","5"
"Facebook Messenger Installs,Branch,Facebook Installs","14"
"Facebook Installs,AppNext,Off-Facebook Installs","2"
"Off-Facebook Installs,Organic,Branch,Facebook Installs","0"
"Facebook Installs,Off-Facebook Installs,Facebook Messenger Installs,Branch","1"
"Instagram Installs,Off-Facebook Installs,Facebook Installs,Branch","0"
"Branch,Off-Facebook Installs,Facebook Installs,Leadbolt","3"
"Branch,Organic,Off-Facebook Installs","3"
"Facebook Installs,Facebook Messenger Installs,Branch,Instagram Installs","2"
"Organic,Branch,Adwords UAC Installs","0"
"Adwords UAC Installs,Facebook Installs,Off-Facebook Installs","1"
"AppNext,Leadbolt","10"
"Off-Facebook Installs,AppNext","8"
"Adwords UAC Installs,Organic","1"
"Organic,Branch","1481"
"Facebook Installs,Off-Facebook Installs,Leadbolt","0"
"Leadbolt,Facebook Installs,Branch","7"
"Facebook Installs,Adwords UAC Installs","26"
"AppNext,Off-Facebook Installs,Branch","1"
"Instagram Installs,Branch,AppNext,Facebook Installs","1"
